Edge,source,target
1,13,29
2,1,13
3,105,145
4,70,145
5,71,105
6,72,105
7,30,105
8,29,70
9,31,70
10,46,70
11,32,70
12,47,70
13,14,71
14,48,71
15,30,71
16,49,71
17,14,72
18,50,72
19,29,72
20,15,30
21,14,31
22,16,31
23,14,46
24,31,46
25,13,46
26,14,32
27,14,47
28,2,47
29,32,47
30,1,14
31,31,48
32,14,48
33,33,48
34,15,30
35,14,49
36,32,49
37,13,50
38,33,50
39,14,50
40,3,15
41,3,16
42,14,32
43,13,33
44,1,33
45,73,106
46,34,73
47,46,73
48,50,73
49,17,34
50,4,17
51,107,222
52,70,222
53,201,222
54,174,222
55,51,107
56,71,107
57,175,201
58,174,201
59,70,201
60,146,174
61,46,174
62,108,174
63,31,174
64,52,174
65,34,51
66,146,175
67,49,146
68,74,146
69,108,146
70,75,146
71,52,146
72,74,108
73,76,108
74,34,52
75,18,52
76,32,74
77,31,74
78,48,74
79,4,75
80,53,75
81,34,75
82,52,75
83,53,76
84,34,76
85,52,76
86,4,18
87,34,53
88,147,233
89,70,233
90,222,233
91,176,233
92,148,233
93,109,233
94,177,233
95,77,147
96,107,147
97,110,147
98,30,147
99,70,176
100,111,176
101,78,176
102,112,176
103,146,176
104,111,148
105,30,148
106,70,109
107,5,109
108,32,109
109,77,177
110,147,177
111,79,177
112,80,177
113,51,77
114,51,110
115,81,110
116,70,111
117,29,111
118,54,78
119,53,78
120,70,112
121,30,112
122,51,77
123,49,79
124,35,79
125,55,80
126,3,80
127,51,81
128,15,54
129,36,54
130,14,35
131,17,55
132,3,55
133,15,55
134,36,55
135,17,36
136,15,36
137,19,36
138,3,19
139,111,149
140,113,150
141,114,150
142,77,113
143,71,113
144,30,113
145,82,114
146,70,114
147,56,82
148,6,82
149,14,56
150,33,56
151,32,56
152,14,72
153,50,72
154,29,72
155,83,115
156,70,115
157,32,83
158,56,83
159,49,83
160,49,116
161,70,116
162,57,116
163,84,116
164,14,57
165,2,57
166,32,57
167,49,84
168,178,202
169,179,202
170,117,178
171,151,178
172,151,179
173,47,179
174,85,179
175,2,179
176,47,117
177,2,117
178,82,117
179,117,151
180,82,151
181,2,151
182,14,47
183,2,47
184,32,47
185,56,85
186,14,85
187,243,244
188,203,244
189,241,243
190,114,243
191,180,203
192,70,203
193,151,203
194,181,203
195,234,241
196,71,241
197,30,241
198,146,180
199,152,181
200,153,181
201,31,181
202,223,234
203,46,152
204,118,152
205,86,152
206,118,153
207,74,153
208,204,223
209,53,223
210,34,223
211,182,223
212,87,223
213,76,223
214,46,118
215,58,118
216,73,118
217,14,86
218,13,86
219,50,86
220,182,204
221,53,204
222,119,204
223,52,204
224,88,204
225,53,182
226,34,182
227,17,182
228,154,182
229,37,182
230,52,182
231,53,87
232,38,87
233,20,87
234,37,87
235,39,87
236,32,58
237,34,119
238,18,119
239,75,119
240,39,119
241,37,88
242,40,88
243,34,88
244,52,88
245,21,88
246,53,154
247,20,154
248,37,154
249,52,154
250,120,154
251,20,37
252,18,38
253,4,20
254,20,39
255,18,39
256,4,18
257,4,75
258,53,75
259,38,75
260,34,75
261,52,75
262,17,40
263,4,21
264,17,120
265,20,120
266,87,120
267,111,148
268,30,148
269,183,235
270,222,235
271,155,183
272,146,183
273,89,155
274,76,155
275,110,155
276,51,89
277,184,205
278,152,205
279,118,184
280,146,184
281,244,245
282,178,245
283,224,236
284,179,236
285,203,236
286,181,236
287,31,224
288,46,224
289,174,224
290,206,224
291,185,224
292,71,206
293,180,206
294,185,206
295,71,185
296,146,185
297,30,185
298,46,90
299,58,90
300,70,156
301,121,156
302,122,156
303,70,121
304,49,121
305,57,121
306,71,122
307,32,122
308,78,122
309,235,242
310,111,242
311,123,157
312,58,157
313,90,157
314,46,157
315,46,123
316,34,123
317,14,123
318,72,123
319,50,123
320,73,123
321,149,207
322,184,207
323,124,207
324,31,124
325,14,124
326,36,124
327,75,124
328,157,186
329,90,186
330,32,186
331,118,186
332,70,208
333,111,208
334,187,208
335,158,187
336,48,187
337,91,187
338,31,158
339,125,158
340,92,158
