id,name,fz,x,y
1,probability,1,0,0
2,gamma function,1,0,0
3,functions of several variables,1,0,0
4,vectors,1,0,0
5,loss function,1,0,0
6,multinomial coefficients,1,0,0
7,equivalence relations,1,0,0
8,complex numbers,1,0,0
9,Hopfield networks,1,0,0
10,asymptotic complexity,1,0,0
11,propositional logic,1,0,0
12,Turing machines,1,0,0
13,conditional probability,1,0,0
14,random variables,1,0,0
15,partial derivatives,1,0,0
16,multiple integrals,1,0,0
17,dot product,1,0,0
18,linear systems as matrices,1,0,0
19,limits and continuity in R^n,1,0,0
20,subspaces,1,0,0
21,vector spaces,1,0,0
22,vector fields,1,0,0
23,line integrals,1,0,0
24,topology of R^n,1,0,0
25,roots of polynomials,1,0,0
26,unions of events,1,0,0
27,propositional satisfiability,1,0,0
28,nondeterministic Turing machines,1,0,0
29,Bayes' rule,1,0,0
30,optimization problems,1,0,0
31,multivariate distributions,1,0,0
32,expectation and variance,1,0,0
33,independent events,1,0,0
34,matrix multiplication,1,0,0
35,cumulative distribution function,1,0,0
36,linear approximation,1,0,0
37,bases,1,0,0
38,Gaussian elimination,1,0,0
39,column space and nullspace,1,0,0
40,linear transformations as matrices,1,0,0
41,cross product,1,0,0
42,evaluating multiple integrals: polar coordinates,1,0,0
43,inner product,1,0,0
44,convex sets,1,0,0
45,NP complexity class,1,0,0
46,conditional distributions,1,0,0
47,beta distribution,1,0,0
48,independent random variables,1,0,0
49,Gaussian distribution,1,0,0
50,conditional independence,1,0,0
51,linear regression,1,0,0
52,matrix inverse,1,0,0
53,matrix transpose,1,0,0
54,higher-order partial derivatives,1,0,0
55,gradient,1,0,0
56,binomial distribution,1,0,0
57,gamma distribution,1,0,0
58,Monte Carlo estimation,1,0,0
59,Chain Rule,1,0,0
60,differentiable manifolds,1,0,0
61,dual space,1,0,0
62,surface integrals,1,0,0
63,parameterizing lines and planes,1,0,0
64,computing the nullspace,1,0,0
65,solution sets of linear systems,1,0,0
66,exponential distribution,1,0,0
67,Markov and Chebyshev inequalities,1,0,0
68,NP-completeness,1,0,0
69,Markov decision process (MDP),1,0,0
70,Bayesian parameter estimation,1,0,0
71,maximum likelihood,1,0,0
72,Bayesian networks,1,0,0
73,Markov chains,1,0,0
74,covariance,1,0,0
75,determinant,1,0,0
76,positive definite matrices,1,0,0
77,binary linear classifiers,1,0,0
78,Taylor approximations,1,0,0
79,probit function,1,0,0
80,gradient descent,1,0,0
81,generalization,1,0,0
82,multinomial distribution,1,0,0
83,exponential families,1,0,0
84,Student-t distribution,1,0,0
85,Poisson distribution,1,0,0
86,Markov random fields,1,0,0
87,four fundamental subspaces,1,0,0
88,change of basis,1,0,0
89,basis function expansions,1,0,0
90,importance sampling,1,0,0
91,Lagrange multipliers,1,0,0
92,entropy,1,0,0
93,conservative vector fields,1,0,0
94,differentiable maps between manifolds,1,0,0
